v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
92.61866446,,2012,2012,UKE,Yorkshire and The Humber,P,P,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKE,Yorkshire and The Humber,Q,Q,cvm,Chained Volume Measure,gra,Annual growth rate
96.2571274,,2012,2012,UKE,Yorkshire and The Humber,Q,Q,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKE,Yorkshire and The Humber,R,R,cvm,Chained Volume Measure,gra,Annual growth rate
109.4793693,,2012,2012,UKE,Yorkshire and The Humber,R,R,cvm,Chained Volume Measure,aix,Annual index
91.42268089,,2012,2012,UKE,Yorkshire and The Humber,S,S,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKE,Yorkshire and The Humber,S,S,cvm,Chained Volume Measure,gra,Annual growth rate
71.83960366,,2012,2012,UKE,Yorkshire and The Humber,T,T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKE,Yorkshire and The Humber,T,T,cvm,Chained Volume Measure,gra,Annual growth rate
93.10878065,,2012,2012,UKF,East Midlands,A,A,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,A,A,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKF,East Midlands,A--T,A--T,cvm,Chained Volume Measure,gra,Annual growth rate
92.47731833,,2012,2012,UKF,East Midlands,A--T,A--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,B,B,cvm,Chained Volume Measure,gra,Annual growth rate
91.57381059,,2012,2012,UKF,East Midlands,B,B,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,B--E,B--E,cvm,Chained Volume Measure,gra,Annual growth rate
98.24792935,,2012,2012,UKF,East Midlands,B--E,B--E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,C,C,cvm,Chained Volume Measure,gra,Annual growth rate
100.3422977,,2012,2012,UKF,East Midlands,C,C,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,D,D,cvm,Chained Volume Measure,gra,Annual growth rate
88.76931045,,2012,2012,UKF,East Midlands,D,D,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,E,E,cvm,Chained Volume Measure,gra,Annual growth rate
96.08924205,,2012,2012,UKF,East Midlands,E,E,cvm,Chained Volume Measure,aix,Annual index
82.46203557,,2012,2012,UKF,East Midlands,F,F,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,F,F,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKF,East Midlands,G,G,cvm,Chained Volume Measure,gra,Annual growth rate
82.76774855,,2012,2012,UKF,East Midlands,G,G,cvm,Chained Volume Measure,aix,Annual index
91.74275474,,2012,2012,UKF,East Midlands,G--T,G--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,G--T,G--T,cvm,Chained Volume Measure,gra,Annual growth rate
