v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
-22.4,,2020,2020,UKF,East Midlands,R,R,cvm,Chained volume measure,gra,Annual growth rate
81.5,,2020,2020,UKF,East Midlands,S,S,cvm,Chained volume measure,aix,Annual index
-18.5,,2020,2020,UKF,East Midlands,S,S,cvm,Chained volume measure,gra,Annual growth rate
60.6,,2020,2020,UKF,East Midlands,T,T,cvm,Chained volume measure,aix,Annual index
-39.4,,2020,2020,UKF,East Midlands,T,T,cvm,Chained volume measure,gra,Annual growth rate
96.2,,2020,2020,UKG,West Midlands,A,A,cvm,Chained volume measure,aix,Annual index
-3.8,,2020,2020,UKG,West Midlands,A,A,cvm,Chained volume measure,gra,Annual growth rate
87.1,,2020,2020,UKG,West Midlands,A--T,A--T,cvm,Chained volume measure,aix,Annual index
-12.9,,2020,2020,UKG,West Midlands,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
100.2,,2020,2020,UKG,West Midlands,B,B,cvm,Chained volume measure,aix,Annual index
0.2,,2020,2020,UKG,West Midlands,B,B,cvm,Chained volume measure,gra,Annual growth rate
84.3,,2020,2020,UKG,West Midlands,B--E,B--E,cvm,Chained volume measure,aix,Annual index
-15.7,,2020,2020,UKG,West Midlands,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
80.5,,2020,2020,UKG,West Midlands,C,C,cvm,Chained volume measure,aix,Annual index
-19.5,,2020,2020,UKG,West Midlands,C,C,cvm,Chained volume measure,gra,Annual growth rate
99.4,,2020,2020,UKG,West Midlands,D,D,cvm,Chained volume measure,aix,Annual index
-0.6,,2020,2020,UKG,West Midlands,D,D,cvm,Chained volume measure,gra,Annual growth rate
103.9,,2020,2020,UKG,West Midlands,E,E,cvm,Chained volume measure,aix,Annual index
3.9,,2020,2020,UKG,West Midlands,E,E,cvm,Chained volume measure,gra,Annual growth rate
73.5,,2020,2020,UKG,West Midlands,F,F,cvm,Chained volume measure,aix,Annual index
-26.5,,2020,2020,UKG,West Midlands,F,F,cvm,Chained volume measure,gra,Annual growth rate
88.3,,2020,2020,UKG,West Midlands,G,G,cvm,Chained volume measure,aix,Annual index
-11.7,,2020,2020,UKG,West Midlands,G,G,cvm,Chained volume measure,gra,Annual growth rate
88.9,,2020,2020,UKG,West Midlands,G--T,G--T,cvm,Chained volume measure,aix,Annual index
-11.1,,2020,2020,UKG,West Midlands,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
82.8,,2020,2020,UKG,West Midlands,H,H,cvm,Chained volume measure,aix,Annual index
-17.2,,2020,2020,UKG,West Midlands,H,H,cvm,Chained volume measure,gra,Annual growth rate
59.1,,2020,2020,UKG,West Midlands,I,I,cvm,Chained volume measure,aix,Annual index
-40.9,,2020,2020,UKG,West Midlands,I,I,cvm,Chained volume measure,gra,Annual growth rate
95.6,,2020,2020,UKG,West Midlands,J,J,cvm,Chained volume measure,aix,Annual index
-4.4,,2020,2020,UKG,West Midlands,J,J,cvm,Chained volume measure,gra,Annual growth rate
99.3,,2020,2020,UKG,West Midlands,K,K,cvm,Chained volume measure,aix,Annual index
-0.7,,2020,2020,UKG,West Midlands,K,K,cvm,Chained volume measure,gra,Annual growth rate
99.1,,2020,2020,UKG,West Midlands,L,L,cvm,Chained volume measure,aix,Annual index
-0.9,,2020,2020,UKG,West Midlands,L,L,cvm,Chained volume measure,gra,Annual growth rate
87.8,,2020,2020,UKG,West Midlands,M,M,cvm,Chained volume measure,aix,Annual index
-12.2,,2020,2020,UKG,West Midlands,M,M,cvm,Chained volume measure,gra,Annual growth rate
86,,2020,2020,UKG,West Midlands,N,N,cvm,Chained volume measure,aix,Annual index
-14,,2020,2020,UKG,West Midlands,N,N,cvm,Chained volume measure,gra,Annual growth rate
100.1,,2020,2020,UKG,West Midlands,O,O,cvm,Chained volume measure,aix,Annual index
0.1,,2020,2020,UKG,West Midlands,O,O,cvm,Chained volume measure,gra,Annual growth rate
82.6,,2020,2020,UKG,West Midlands,P,P,cvm,Chained volume measure,aix,Annual index
-17.4,,2020,2020,UKG,West Midlands,P,P,cvm,Chained volume measure,gra,Annual growth rate
83.8,,2020,2020,UKG,West Midlands,Q,Q,cvm,Chained volume measure,aix,Annual index
-16.2,,2020,2020,UKG,West Midlands,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
76.6,,2020,2020,UKG,West Midlands,R,R,cvm,Chained volume measure,aix,Annual index
-23.4,,2020,2020,UKG,West Midlands,R,R,cvm,Chained volume measure,gra,Annual growth rate
84,,2020,2020,UKG,West Midlands,S,S,cvm,Chained volume measure,aix,Annual index
-16,,2020,2020,UKG,West Midlands,S,S,cvm,Chained volume measure,gra,Annual growth rate
83.3,,2020,2020,UKG,West Midlands,T,T,cvm,Chained volume measure,aix,Annual index
-16.7,,2020,2020,UKG,West Midlands,T,T,cvm,Chained volume measure,gra,Annual growth rate
95.3,,2020,2020,UKH,East of England,A,A,cvm,Chained volume measure,aix,Annual index
-4.7,,2020,2020,UKH,East of England,A,A,cvm,Chained volume measure,gra,Annual growth rate
89.1,,2020,2020,UKH,East of England,A--T,A--T,cvm,Chained volume measure,aix,Annual index
-10.9,,2020,2020,UKH,East of England,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
105.8,,2020,2020,UKH,East of England,B,B,cvm,Chained volume measure,aix,Annual index
5.8,,2020,2020,UKH,East of England,B,B,cvm,Chained volume measure,gra,Annual growth rate
93.4,,2020,2020,UKH,East of England,B--E,B--E,cvm,Chained volume measure,aix,Annual index
-6.6,,2020,2020,UKH,East of England,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
91.8,,2020,2020,UKH,East of England,C,C,cvm,Chained volume measure,aix,Annual index
-8.2,,2020,2020,UKH,East of England,C,C,cvm,Chained volume measure,gra,Annual growth rate
98,,2020,2020,UKH,East of England,D,D,cvm,Chained volume measure,aix,Annual index
-2,,2020,2020,UKH,East of England,D,D,cvm,Chained volume measure,gra,Annual growth rate
101.6,,2020,2020,UKH,East of England,E,E,cvm,Chained volume measure,aix,Annual index
1.6,,2020,2020,UKH,East of England,E,E,cvm,Chained volume measure,gra,Annual growth rate
80.4,,2020,2020,UKH,East of England,F,F,cvm,Chained volume measure,aix,Annual index
-19.6,,2020,2020,UKH,East of England,F,F,cvm,Chained volume measure,gra,Annual growth rate
93.6,,2020,2020,UKH,East of England,G,G,cvm,Chained volume measure,aix,Annual index
