V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
49.10,,35.81,62.38,2019-20,2019-20,E07000201,Forest Heath,happiness,Happiness,good,Good
4.02,,0.0,0.0,2011-12,2011-12,S12000024,Perth and Kinross,worthwhile,Worthwhile,poor,Poor
30.36,,26.38,34.34,2019-20,2019-20,S12000015,Fife,happiness,Happiness,very-good,Very good
50.68,,39.56,61.81,2015-16,2015-16,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,good,Good
,x,,,2011-12,2011-12,E07000048,Christchurch,life-satisfaction,Life Satisfaction,fair,Fair
14.28,,11.47,17.07,2016-17,2016-17,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2016-17,2016-17,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,poor,Poor
48.80,,36.96,60.64,2019-20,2019-20,E07000051,Purbeck,life-satisfaction,Life Satisfaction,good,Good
,x,,,2012-13,2012-13,E07000050,North Dorset,life-satisfaction,Life Satisfaction,poor,Poor
50.09,,43.29,56.89,2011-12,2011-12,E07000052,West Dorset,life-satisfaction,Life Satisfaction,good,Good
48.12,,38.04,58.19,2018-19,2018-19,E07000204,St Edmundsbury,life-satisfaction,Life Satisfaction,good,Good
,x,,,2016-17,2016-17,E07000205,Suffolk Coastal,happiness,Happiness,fair,Fair
36.20,,31.71,40.69,2018-19,2018-19,S12000044,North Lanarkshire,worthwhile,Worthwhile,very-good,Very good
47.65,,43.32,51.98,2019-20,2019-20,S12000015,Fife,worthwhile,Worthwhile,good,Good
,x,,,2018-19,2018-19,E06000053,Isles of Scilly,worthwhile,Worthwhile,poor,Poor
39.09,,35.38,42.8,2018-19,2018-19,E10000009,Dorset,happiness,Happiness,good,Good
,x,,,2014-15,2014-15,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,good,Good
,x,,,2012-13,2012-13,E07000051,Purbeck,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2011-12,2011-12,E07000048,Christchurch,life-satisfaction,Life Satisfaction,poor,Poor
53.78,,50.69,59.17,2014-15,2014-15,E06000029,Poole,life-satisfaction,Life Satisfaction,good,Good
,x,,,2015-16,2015-16,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2015-16,2015-16,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,fair,Fair
25.04,,0.0,0.0,2011-12,2011-12,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,very-good,Very good
56.65,,49.19,64.11,2018-19,2018-19,E07000052,West Dorset,life-satisfaction,Life Satisfaction,good,Good
,x,,,2017-18,2017-18,E07000191,West Somerset,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2012-13,2012-13,E07000050,North Dorset,life-satisfaction,Life Satisfaction,very-good,Very good
53.74,,46.2,61.3,2016-17,2016-17,E07000052,West Dorset,life-satisfaction,Life Satisfaction,good,Good
,x,,,2014-15,2014-15,E07000206,Waveney,happiness,Happiness,poor,Poor
49.04,,44.55,53.53,2015-16,2015-16,S12000015,Fife,worthwhile,Worthwhile,good,Good
32.96,,0.0,0.0,2011-12,2011-12,S12000015,Fife,worthwhile,Worthwhile,very-good,Very good
37.36,,27.78,47.13,2016-17,2016-17,E07000190,Taunton Deane,worthwhile,Worthwhile,very-good,Very good
5.85,,3.84,7.86,2018-19,2018-19,S12000046,Glasgow City,worthwhile,Worthwhile,poor,Poor
,x,,,2018-19,2018-19,E07000053,Weymouth and Portland,happiness,Happiness,poor,Poor
29.94,,26.61,33.27,2012-13,2012-13,S12000044,North Lanarkshire,happiness,Happiness,very-good,Very good
9.77,,7.07,12.47,2019-20,2019-20,S12000015,Fife,happiness,Happiness,poor,Poor
8.29,,5.89,10.69,2015-16,2015-16,S12000015,Fife,happiness,Happiness,poor,Poor
33.40,,22.64,44.16,2013-14,2013-14,E07000051,Purbeck,happiness,Happiness,good,Good
6.89,,5.1,8.68,2014-15,2014-15,S12000024,Perth and Kinross,happiness,Happiness,poor,Poor
,x,,,2017-18,2017-18,E07000201,Forest Heath,happiness,Happiness,very-good,Very good
,x,,,2019-20,2019-20,E07000190,Taunton Deane,worthwhile,Worthwhile,fair,Fair
,x,,,2013-14,2013-14,E07000051,Purbeck,worthwhile,Worthwhile,very-good,Very good
36.31,,32.52,40.1,2018-19,2018-19,E06000029,Poole,worthwhile,Worthwhile,very-good,Very good
,x,,,2017-18,2017-18,E07000051,Purbeck,worthwhile,Worthwhile,fair,Fair
52.66,,39.79,65.54,2018-19,2018-19,E07000053,Weymouth and Portland,worthwhile,Worthwhile,good,Good
,x,,,2012-13,2012-13,E07000191,West Somerset,worthwhile,Worthwhile,poor,Poor
51.21,,47.31,55.09,2012-13,2012-13,E06000029,Poole,worthwhile,Worthwhile,good,Good
,x,,,2016-17,2016-17,E07000049,East Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2011-12,2011-12,E07000051,Purbeck,worthwhile,Worthwhile,poor,Poor
,x,,,2014-15,2014-15,E06000029,Poole,worthwhile,Worthwhile,poor,Poor
,x,,,2016-17,2016-17,E07000052,West Dorset,worthwhile,Worthwhile,fair,Fair
,x,,,2012-13,2012-13,E07000206,Waveney,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000206,Waveney,worthwhile,Worthwhile,very-good,Very good
18.16,,14.12,22.2,2019-20,2019-20,S12000044,North Lanarkshire,happiness,Happiness,fair,Fair
,x,,,2015-16,2015-16,E07000048,Christchurch,happiness,Happiness,poor,Poor
4.82,,3.25,6.38,2012-13,2012-13,E06000028,Bournemouth,worthwhile,Worthwhile,poor,Poor
51.95,,43.55,60.35,2017-18,2017-18,E07000205,Suffolk Coastal,worthwhile,Worthwhile,good,Good
,x,,,2017-18,2017-18,E07000205,Suffolk Coastal,worthwhile,Worthwhile,poor,Poor
,x,,,2015-16,2015-16,E07000051,Purbeck,worthwhile,Worthwhile,very-good,Very good
,x,,,2013-14,2013-14,E07000201,Forest Heath,worthwhile,Worthwhile,fair,Fair
40.78,,36.4,45.17,2015-16,2015-16,S12000015,Fife,happiness,Happiness,good,Good
,x,,,2011-12,2011-12,E07000201,Forest Heath,anxiety,Anxiety,good,Good
39.09,,28.29,49.89,2019-20,2019-20,E07000206,Waveney,happiness,Happiness,very-good,Very good
43.60,,30.5,56.69,2014-15,2014-15,E07000051,Purbeck,happiness,Happiness,good,Good
,x,,,2018-19,2018-19,E07000053,Weymouth and Portland,happiness,Happiness,fair,Fair
40.0,27.6,52.39,2017-18,2017-18,E07000051,Purbeck,worthwhile,Worthwhile,very-good,Very good
,x,,,2012-13,2012-13,E07000052,West Dorset,worthwhile,Worthwhile,poor,Poor
