FeatureCode,DateCode,Measurement,Units,Value
E01020366,2010,IMD rank,ordinal-position,29765
E01003756,2010,IMD rank,ordinal-position,14726
E01002273,2010,IMD rank,ordinal-position,22899
E01016416,2010,IMD rank,ordinal-position,14635
E01025585,2010,IMD rank,ordinal-position,19658
E01013535,2010,IMD rank,ordinal-position,1738
E01008975,2010,IMD rank,ordinal-position,14528
E01000992,2010,IMD rank,ordinal-position,5343
E01000002,2010,IMD rank,ordinal-position,29450
E01012052,2010,IMD rank,ordinal-position,15194
E01031745,2010,IMD rank,ordinal-position,31121
E01007492,2010,IMD rank,ordinal-position,3416
E01030262,2010,IMD rank,ordinal-position,7962
E01007279,2010,IMD rank,ordinal-position,24383
E01001602,2010,IMD rank,ordinal-position,5748
E01030049,2010,IMD rank,ordinal-position,23181
E01010771,2010,IMD rank,ordinal-position,31727
E01008102,2010,IMD rank,ordinal-position,925
E01010558,2010,IMD rank,ordinal-position,14533
E01024914,2010,IMD rank,ordinal-position,24253
E01005998,2010,IMD rank,ordinal-position,9956
E01023431,2010,IMD rank,ordinal-position,21316
E01006821,2010,IMD rank,ordinal-position,1698
E01018871,2010,IMD rank,ordinal-position,13056
E01023218,2010,IMD rank,ordinal-position,30884
E01015990,2010,IMD rank,ordinal-position,17391
E01006608,2010,IMD rank,ordinal-position,4399
E01018658,2010,IMD rank,ordinal-position,31406
E01015777,2010,IMD rank,ordinal-position,15097
E01005125,2010,IMD rank,ordinal-position,4654
E01017175,2010,IMD rank,ordinal-position,20526
E01021937,2010,IMD rank,ordinal-position,30524
E01014294,2010,IMD rank,ordinal-position,7291
E01028650,2010,IMD rank,ordinal-position,27515
E01028437,2010,IMD rank,ordinal-position,22431
E01020454,2010,IMD rank,ordinal-position,13971
E01003844,2010,IMD rank,ordinal-position,26757
E01002361,2010,IMD rank,ordinal-position,14617
E01002148,2010,IMD rank,ordinal-position,25396
E01016504,2010,IMD rank,ordinal-position,18744
E01013623,2010,IMD rank,ordinal-position,11144
E01025673,2010,IMD rank,ordinal-position,17458
E01031833,2010,IMD rank,ordinal-position,9319
E01012140,2010,IMD rank,ordinal-position,13850
E01000867,2010,IMD rank,ordinal-position,5805
E01024190,2010,IMD rank,ordinal-position,11788
E01007580,2010,IMD rank,ordinal-position,10083
E01007367,2010,IMD rank,ordinal-position,2836
E01030350,2010,IMD rank,ordinal-position,31874
E01030137,2010,IMD rank,ordinal-position,19959
E01010646,2010,IMD rank,ordinal-position,28154
E01022696,2010,IMD rank,ordinal-position,30173
E01029196,2010,IMD rank,ordinal-position,18201
E01023306,2010,IMD rank,ordinal-position,22243
E01018746,2010,IMD rank,ordinal-position,11167
E01015865,2010,IMD rank,ordinal-position,15647
E01005213,2010,IMD rank,ordinal-position,1300
E01017263,2010,IMD rank,ordinal-position,11351
E01014382,2010,IMD rank,ordinal-position,27127
E01014169,2010,IMD rank,ordinal-position,9476
E01028525,2010,IMD rank,ordinal-position,8215
E01020542,2010,IMD rank,ordinal-position,22091
E01003932,2010,IMD rank,ordinal-position,4740
E01032379,2010,IMD rank,ordinal-position,28200
E01020329,2010,IMD rank,ordinal-position,16178
E01003719,2010,IMD rank,ordinal-position,10351
E01027042,2010,IMD rank,ordinal-position,26904
E01000838,2010,IMD rank,ordinal-position,27072
E01012888,2010,IMD rank,ordinal-position,1918
E01002236,2010,IMD rank,ordinal-position,10635
E01013711,2010,IMD rank,ordinal-position,10922
E01025761,2010,IMD rank,ordinal-position,27168
E01025548,2010,IMD rank,ordinal-position,19819
E01008938,2010,IMD rank,ordinal-position,2362
E01000955,2010,IMD rank,ordinal-position,6178
E01031921,2010,IMD rank,ordinal-position,31784
E01031708,2010,IMD rank,ordinal-position,18000
E01012015,2010,IMD rank,ordinal-position,2067
E01024065,2010,IMD rank,ordinal-position,16247
E01007455,2010,IMD rank,ordinal-position,19303
E01030225,2010,IMD rank,ordinal-position,11317
E01010734,2010,IMD rank,ordinal-position,2149
E01022784,2010,IMD rank,ordinal-position,31456
E01029284,2010,IMD rank,ordinal-position,7937
E01004691,2010,IMD rank,ordinal-position,18425
E01021088,2010,IMD rank,ordinal-position,14589
E01004478,2010,IMD rank,ordinal-position,28268
E01018834,2010,IMD rank,ordinal-position,14455
E01015953,2010,IMD rank,ordinal-position,14925
E01005301,2010,IMD rank,ordinal-position,13696
E01017351,2010,IMD rank,ordinal-position,22692
E01014470,2010,IMD rank,ordinal-position,27908
E01017138,2010,IMD rank,ordinal-position,15532
E01028613,2010,IMD rank,ordinal-position,31085
E01014257,2010,IMD rank,ordinal-position,7573
E01020630,2010,IMD rank,ordinal-position,8567
E01009697,2010,IMD rank,ordinal-position,21794
E01032467,2010,IMD rank,ordinal-position,24552
E01020417,2010,IMD rank,ordinal-position,29252
E01003807,2010,IMD rank,ordinal-position,25846
E01027130,2010,IMD rank,ordinal-position,13013
E01012976,2010,IMD rank,ordinal-position,10674
E01002324,2010,IMD rank,ordinal-position,14764
E01011493,2010,IMD rank,ordinal-position,2380
E01025636,2010,IMD rank,ordinal-position,23462
E01012103,2010,IMD rank,ordinal-position,12540
E01024153,2010,IMD rank,ordinal-position,30089
E01007543,2010,IMD rank,ordinal-position,776
E01019593,2010,IMD rank,ordinal-position,26042
E01030313,2010,IMD rank,ordinal-position,25781
E01006060,2010,IMD rank,ordinal-position,2793
E01010822,2010,IMD rank,ordinal-position,238
E01022872,2010,IMD rank,ordinal-position,32095
E01010609,2010,IMD rank,ordinal-position,3297
E01022659,2010,IMD rank,ordinal-position,27621
E01029372,2010,IMD rank,ordinal-position,3317
E01029159,2010,IMD rank,ordinal-position,29708
E01021176,2010,IMD rank,ordinal-position,22259
E01004566,2010,IMD rank,ordinal-position,17209
E01018922,2010,IMD rank,ordinal-position,12220
E01003083,2010,IMD rank,ordinal-position,12056
E01018709,2010,IMD rank,ordinal-position,15144
E01015828,2010,IMD rank,ordinal-position,4214
E01027878,2010,IMD rank,ordinal-position,13345
E01017226,2010,IMD rank,ordinal-position,24706
E01028701,2010,IMD rank,ordinal-position,27251
E01014345,2010,IMD rank,ordinal-position,2344
E01026395,2010,IMD rank,ordinal-position,30286
E01009785,2010,IMD rank,ordinal-position,24018
E01020505,2010,IMD rank,ordinal-position,23829
E01001589,2010,IMD rank,ordinal-position,5108
E01031072,2010,IMD rank,ordinal-position,2607
E01027005,2010,IMD rank,ordinal-position,19767
E01008089,2010,IMD rank,ordinal-position,4308
E01002412,2010,IMD rank,ordinal-position,20025
E01011581,2010,IMD rank,ordinal-position,21499
E01011368,2010,IMD rank,ordinal-position,1282
E01025724,2010,IMD rank,ordinal-position,24374
E01000918,2010,IMD rank,ordinal-position,6861
E01024241,2010,IMD rank,ordinal-position,6235
E01007631,2010,IMD rank,ordinal-position,25698
E01019681,2010,IMD rank,ordinal-position,20461
E01030401,2010,IMD rank,ordinal-position,26822
E01024028,2010,IMD rank,ordinal-position,6149
E01007418,2010,IMD rank,ordinal-position,23797
E01019468,2010,IMD rank,ordinal-position,9022
E01010910,2010,IMD rank,ordinal-position,7125
E01022960,2010,IMD rank,ordinal-position,16481
E01022747,2010,IMD rank,ordinal-position,28763
E01029460,2010,IMD rank,ordinal-position,23761
E01029247,2010,IMD rank,ordinal-position,3868
E01021264,2010,IMD rank,ordinal-position,24467
E01004654,2010,IMD rank,ordinal-position,11278
E01003171,2010,IMD rank,ordinal-position,7707
E01000290,2010,IMD rank,ordinal-position,15112
E01015916,2010,IMD rank,ordinal-position,1123
E01027966,2010,IMD rank,ordinal-position,2050
E01017314,2010,IMD rank,ordinal-position,15499
E01000077,2010,IMD rank,ordinal-position,6324
E01026483,2010,IMD rank,ordinal-position,12865
E01014433,2010,IMD rank,ordinal-position,15214
E01009873,2010,IMD rank,ordinal-position,13330
E01001890,2010,IMD rank,ordinal-position,15664
E01001677,2010,IMD rank,ordinal-position,8826
E01008390,2010,IMD rank,ordinal-position,289
E01031160,2010,IMD rank,ordinal-position,19649
E01008177,2010,IMD rank,ordinal-position,12411
E01002500,2010,IMD rank,ordinal-position,18071
E01012939,2010,IMD rank,ordinal-position,23255
E01024989,2010,IMD rank,ordinal-position,16341
