FeatureCode,DateCode,Measurement,Units,Value
E01029372,2010,IMD score,,44.61
E01029159,2010,IMD score,,5.33
E01021176,2010,IMD score,,11.37
E01004566,2010,IMD score,,16.17
E01018922,2010,IMD score,,22.48
E01003083,2010,IMD score,,22.74
E01018709,2010,IMD score,,18.54
E01015828,2010,IMD score,,41.16
E01027878,2010,IMD score,,20.86
E01017226,2010,IMD score,,9.48
E01028701,2010,IMD score,,7.45
E01014345,2010,IMD score,,49.2
E01026395,2010,IMD score,,4.77
E01009785,2010,IMD score,,10
E01020505,2010,IMD score,,10.14
E01001589,2010,IMD score,,38.23
E01031072,2010,IMD score,,47.82
E01027005,2010,IMD score,,13.53
E01008089,2010,IMD score,,40.85
E01002412,2010,IMD score,,13.31
E01011581,2010,IMD score,,12.03
E01011368,2010,IMD score,,55.9
E01025724,2010,IMD score,,9.74
E01000918,2010,IMD score,,33.16
E01024241,2010,IMD score,,34.94
E01007631,2010,IMD score,,8.73
E01019681,2010,IMD score,,12.95
E01030401,2010,IMD score,,7.81
E01024028,2010,IMD score,,35.19
E01007418,2010,IMD score,,10.17
E01019468,2010,IMD score,,28.2
E01010910,2010,IMD score,,32.52
E01022960,2010,IMD score,,16.99
E01022747,2010,IMD score,,6.21
E01029460,2010,IMD score,,10.21
E01029247,2010,IMD score,,42.37
E01021264,2010,IMD score,,9.66
E01004654,2010,IMD score,,23.99
E01003171,2010,IMD score,,31.11
E01000290,2010,IMD score,,18.59
E01015916,2010,IMD score,,57.34
E01027966,2010,IMD score,,50.73
E01017314,2010,IMD score,,18.1
E01000077,2010,IMD score,,34.7
E01026483,2010,IMD score,,21.51
E01014433,2010,IMD score,,18.46
E01009873,2010,IMD score,,20.88
E01001890,2010,IMD score,,17.92
E01001677,2010,IMD score,,28.64
E01008390,2010,IMD score,,68.69
E01031160,2010,IMD score,,13.63
E01008177,2010,IMD score,,22.2
E01002500,2010,IMD score,,15.2
E01012939,2010,IMD score,,10.57
E01024989,2010,IMD score,,17.14
E01009000,2010,IMD score,,45.1
E01011456,2010,IMD score,,3.34
E01025812,2010,IMD score,,8.19
E01006896,2010,IMD score,,16.87
E01024116,2010,IMD score,,7.27
E01007506,2010,IMD score,,50.79
E01019556,2010,IMD score,,38.07
E01006023,2010,IMD score,,43.56
E01018073,2010,IMD score,,25.63
E01022835,2010,IMD score,,16.55
E01015192,2010,IMD score,,27.61
E01029335,2010,IMD score,,23.97
E01021352,2010,IMD score,,9.17
E01004742,2010,IMD score,,16.43
E01016792,2010,IMD score,,3.21
E01021139,2010,IMD score,,15.33
E01004529,2010,IMD score,,23.63
E01016579,2010,IMD score,,13.22
E01013698,2010,IMD score,,28.68
E01003046,2010,IMD score,,39.33
E01017402,2010,IMD score,,3.95
E01000165,2010,IMD score,,11.32
E01014521,2010,IMD score,,24.13
E01026571,2010,IMD score,,5.82
E01009961,2010,IMD score,,19.33
E01026358,2010,IMD score,,4.5
E01014308,2010,IMD score,,17.57
E01009748,2010,IMD score,,47.44
E01001765,2010,IMD score,,55.74
E01008265,2010,IMD score,,24.04
E01031035,2010,IMD score,,16.56
E01025900,2010,IMD score,,26.45
E01011544,2010,IMD score,,38.17
E01023594,2010,IMD score,,11.08
E01006984,2010,IMD score,,56.11
E01010061,2010,IMD score,,47.8
E01024204,2010,IMD score,,24.7
E01005288,2010,IMD score,,35.37
E01019644,2010,IMD score,,34.99
E01006111,2010,IMD score,,46.6
E01018161,2010,IMD score,,5.06
E01022923,2010,IMD score,,8.89
E01015280,2010,IMD score,,48.18
E01015067,2010,IMD score,,8.29
E01029423,2010,IMD score,,18.41
E01021440,2010,IMD score,,10.85
E01004830,2010,IMD score,,40.34
E01016880,2010,IMD score,,50.47
E01021227,2010,IMD score,,6.05
E01004617,2010,IMD score,,29.22
E01016667,2010,IMD score,,1.9
E01013786,2010,IMD score,,22.82
E01003134,2010,IMD score,,25.82
E01000253,2010,IMD score,,10.12
E01027929,2010,IMD score,,24.01
E01031996,2010,IMD score,,17.45
E01026446,2010,IMD score,,15.14
E01009836,2010,IMD score,,56.2
E01001853,2010,IMD score,,20.98
E01008353,2010,IMD score,,27.4
E01031123,2010,IMD score,,3.98
E01011632,2010,IMD score,,38.61
E01023682,2010,IMD score,,8.96
E01011419,2010,IMD score,,6.92
E01023469,2010,IMD score,,14.36
E01006859,2010,IMD score,,7.87
E01005376,2010,IMD score,,40.29
E01019732,2010,IMD score,,13.4
E01019519,2010,IMD score,,25.74
E01028688,2010,IMD score,,7.83
E01018036,2010,IMD score,,11.05
E01015155,2010,IMD score,,67.9
E01029511,2010,IMD score,,3.52
E01021315,2010,IMD score,,32.08
E01002399,2010,IMD score,,19.44
E01004705,2010,IMD score,,10.3
E01016755,2010,IMD score,,8.2
E01013874,2010,IMD score,,25.7
E01003222,2010,IMD score,,21.7
E01012391,2010,IMD score,,52.86
E01000341,2010,IMD score,,8.96
E01003009,2010,IMD score,,11.51
E01000128,2010,IMD score,,22.71
E01012178,2010,IMD score,,13.69
E01026534,2010,IMD score,,13.89
E01009924,2010,IMD score,,13.74
E01001941,2010,IMD score,,43.44
E01030388,2010,IMD score,,5.3
E01013001,2010,IMD score,,19.86
E01001728,2010,IMD score,,47.19
E01025051,2010,IMD score,,41.29
E01008441,2010,IMD score,,31.82
E01010897,2010,IMD score,,10.22
E01008228,2010,IMD score,,41.83
E01031211,2010,IMD score,,9.8
E01011720,2010,IMD score,,37.96
E01023770,2010,IMD score,,4.14
E01011507,2010,IMD score,,10.62
E01023557,2010,IMD score,,7.53
E01006947,2010,IMD score,,8.98
E01018997,2010,IMD score,,58.9
E01010024,2010,IMD score,,11.68
E01022074,2010,IMD score,,12.19
E01005464,2010,IMD score,,65.4
E01019820,2010,IMD score,,13.85
E01019607,2010,IMD score,,11.93
E01028776,2010,IMD score,,12.54
E01020793,2010,IMD score,,41.12
E01018124,2010,IMD score,,5.47
E01015243,2010,IMD score,,16.98
E01027293,2010,IMD score,,3.54
E01021403,2010,IMD score,,4.08
E01002487,2010,IMD score,,28.97
E01016843,2010,IMD score,,49.07
E01013962,2010,IMD score,,41.55
E01003310,2010,IMD score,,41.89
E01013749,2010,IMD score,,27.21
E01025799,2010,IMD score,,1.45
E01000216,2010,IMD score,,11.38
E01012266,2010,IMD score,,74.48
E01031959,2010,IMD score,,7.04
E01026622,2010,IMD score,,56.92
E01030476,2010,IMD score,,2.97
E01026409,2010,IMD score,,17.71
E01001816,2010,IMD score,,33.59
E01010985,2010,IMD score,,24.86
E01008316,2010,IMD score,,8.44
E01023645,2010,IMD score,,13.96
E01010112,2010,IMD score,,25.75
E01022162,2010,IMD score,,15.72
E01005552,2010,IMD score,,70.8
E01005339,2010,IMD score,,14.36
E01017389,2010,IMD score,,6.51
E01028864,2010,IMD score,,16.72
E01020881,2010,IMD score,,27.43
E01018212,2010,IMD score,,14.54
E01020668,2010,IMD score,,29.99
E01015331,2010,IMD score,,22.17
E01027381,2010,IMD score,,20.92
E01015118,2010,IMD score,,9.28
E01027168,2010,IMD score,,52.75
E01002575,2010,IMD score,,11.33
E01016931,2010,IMD score,,12.81
E01009075,2010,IMD score,,35.73
E01001092,2010,IMD score,,20.43
E01016718,2010,IMD score,,42.05
E01013837,2010,IMD score,,18.16
E01025887,2010,IMD score,,14.8
E01000304,2010,IMD score,,15.38
E01012354,2010,IMD score,,65.31
E01026710,2010,IMD score,,10.49
E01007794,2010,IMD score,,46.6
E01030564,2010,IMD score,,5.67
E01001904,2010,IMD score,,18.14
E01025014,2010,IMD score,,12.07
E01006098,2010,IMD score,,2.95
E01008404,2010,IMD score,,30.74
E01023733,2010,IMD score,,3.3
E01010200,2010,IMD score,,15.53
E01022250,2010,IMD score,,21.86
E01005640,2010,IMD score,,37.26
E01017690,2010,IMD score,,7.55
E01022037,2010,IMD score,,22
E01005427,2010,IMD score,,54.93
E01017477,2010,IMD score,,51.2
E01014596,2010,IMD score,,49.22
E01028952,2010,IMD score,,6.14
E01018300,2010,IMD score,,8.82
E01028739,2010,IMD score,,5.67
E01020756,2010,IMD score,,12.46
E01015206,2010,IMD score,,26.32
E01027256,2010,IMD score,,8.22
E01002663,2010,IMD score,,23.95
E01009163,2010,IMD score,,37.98
E01001180,2010,IMD score,,22.25
E01016806,2010,IMD score,,39.16
E01013925,2010,IMD score,,15.89
E01025975,2010,IMD score,,4.31
E01012442,2010,IMD score,,58.77
E01024492,2010,IMD score,,19.59
E01007882,2010,IMD score,,21.41
E01012229,2010,IMD score,,3.17
E01024279,2010,IMD score,,23.11
E01007669,2010,IMD score,,15.68
E01030652,2010,IMD score,,10.95
E01030439,2010,IMD score,,3.9
E01025102,2010,IMD score,,14.16
E01006186,2010,IMD score,,25.81
E01010948,2010,IMD score,,16.21
E01022998,2010,IMD score,,5.52
E01029498,2010,IMD score,,12.62
E01023821,2010,IMD score,,3.27
E01023608,2010,IMD score,,1.67
