FeatureCode,DateCode,Measurement,Units,Value,Tenure
E09000021,2022 Q1,Completions,building-completions,0,Housing Association
E09000021,Year ending 2022-03-31,Completions,building-completions,0,Housing Association
E09000021,Year ending 2022-09-30,Completions,building-completions,0,Housing Association
E09000021,2022 Q3,Completions,building-completions,0,Housing Association
E09000021,Year ending 2022-06-30,Completions,building-completions,0,Housing Association
E09000021,2022 Q2,Completions,building-completions,0,Housing Association
E09000021,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E09000021,2022 Q3,Completions,building-completions,0,Local Authority
E09000021,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E09000021,2022 Q2,Completions,building-completions,0,Local Authority
E09000021,2022 Q1,Completions,building-completions,0,Local Authority
E09000021,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E09000021,Year ending 2022-03-31,Completions,building-completions,110,Private Enterprise
E09000021,2022 Q1,Completions,building-completions,40,Private Enterprise
E09000021,2022 Q2,Completions,building-completions,30,Private Enterprise
E09000021,Year ending 2022-06-30,Completions,building-completions,120,Private Enterprise
E09000021,Year ending 2022-09-30,Completions,building-completions,90,Private Enterprise
E09000021,2022 Q3,Completions,building-completions,10,Private Enterprise
E09000021,Year ending 2022-09-30,Completions,building-completions,90,All
E09000021,2022 Q3,Completions,building-completions,10,All
E09000021,Year ending 2022-03-31,Completions,building-completions,110,All
E09000021,2022 Q1,Completions,building-completions,40,All
E09000021,Year ending 2022-06-30,Completions,building-completions,120,All
E09000021,2022 Q2,Completions,building-completions,30,All
E09000027,Year ending 2022-03-31,Completions,building-completions,0,Housing Association
E09000027,2022 Q1,Completions,building-completions,0,Housing Association
E09000027,2022 Q3,Completions,building-completions,0,Housing Association
E09000027,Year ending 2022-09-30,Completions,building-completions,0,Housing Association
E09000027,Year ending 2022-06-30,Completions,building-completions,0,Housing Association
E09000027,2022 Q2,Completions,building-completions,0,Housing Association
E09000027,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E09000027,Year ending 2022-09-30,Completions,building-completions,20,Local Authority
E09000027,2022 Q3,Completions,building-completions,20,Local Authority
E09000027,2022 Q2,Completions,building-completions,0,Local Authority
E09000027,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E09000027,2022 Q1,Completions,building-completions,0,Local Authority
E09000027,2022 Q1,Completions,building-completions,10,Private Enterprise
E09000027,Year ending 2022-03-31,Completions,building-completions,20,Private Enterprise
E09000027,2022 Q2,Completions,building-completions,140,Private Enterprise
E09000027,Year ending 2022-06-30,Completions,building-completions,160,Private Enterprise
E09000027,2022 Q3,Completions,building-completions,250,Private Enterprise
E09000027,Year ending 2022-09-30,Completions,building-completions,400,Private Enterprise
E09000027,2022 Q3,Completions,building-completions,260,All
E09000027,Year ending 2022-09-30,Completions,building-completions,410,All
E09000027,2022 Q1,Completions,building-completions,10,All
E09000027,Year ending 2022-03-31,Completions,building-completions,20,All
E09000027,Year ending 2022-06-30,Completions,building-completions,160,All
E09000027,2022 Q2,Completions,building-completions,140,All
